x,y,time,label
1522,224,1770701892.235738,human
1524,231,1770701892.2420704,human
1525,235,1770701892.2487857,human
1526,239,1770701892.2554138,human
1528,243,1770701892.2616744,human
1529,246,1770701892.2687764,human
1530,249,1770701892.2750192,human
1532,250,1770701892.281603,human
1532,253,1770701892.2886372,human
1534,255,1770701892.2945464,human
1534,256,1770701892.3020575,human
1534,256,1770701892.3078566,human
1534,257,1770701892.3143277,human
1534,258,1770701892.3212507,human
1535,258,1770701892.3274217,human
1535,258,1770701892.3604121,human
1535,259,1770701892.406373,human
1535,260,1770701892.4464443,human
1535,260,1770701892.465887,human
1535,261,1770701892.4792664,human
1535,261,1770701892.4919243,human
1533,261,1770701892.5058002,human
1531,261,1770701892.5247107,human
1531,261,1770701892.5382204,human
1530,262,1770701892.5514069,human
1529,262,1770701892.5645945,human
1529,263,1770701892.570693,human
1529,263,1770701892.577681,human
1529,263,1770701892.5974045,human
1528,263,1770701892.6044464,human
1528,264,1770701892.6239572,human
1527,264,1770701892.6298358,human
1527,265,1770701892.6495688,human
1527,266,1770701892.6763556,human
1527,267,1770701892.6893473,human
1527,268,1770701892.7289774,human
1526,272,1770701893.4729223,human
1526,279,1770701893.4782095,human
1524,288,1770701893.4847322,human
1523,296,1770701893.4915638,human
1521,304,1770701893.497963,human
1520,311,1770701893.5045197,human
1519,318,1770701893.5119677,human
1519,321,1770701893.5177023,human
1518,325,1770701893.5250385,human
1518,330,1770701893.5311449,human
1517,334,1770701893.5377736,human
1517,339,1770701893.5442212,human
1517,343,1770701893.5508137,human
1516,346,1770701893.5577226,human
1516,349,1770701893.5639923,human
1515,353,1770701893.5706532,human
1515,360,1770701893.576872,human
1515,364,1770701893.5834413,human
1515,368,1770701893.590603,human
1515,370,1770701893.5968733,human
1515,375,1770701893.6036105,human
1515,378,1770701893.609878,human
1515,382,1770701893.61691,human
1515,384,1770701893.623081,human
1515,387,1770701893.630144,human
1515,390,1770701893.6362648,human
1515,393,1770701893.6428506,human
1515,398,1770701893.6496449,human
1515,401,1770701893.6563072,human
1515,405,1770701893.662704,human
1515,409,1770701893.669611,human
1515,412,1770701893.6757627,human
1515,416,1770701893.6826408,human
1515,419,1770701893.6891825,human
1515,421,1770701893.695851,human
1515,425,1770701893.7021518,human
1516,427,1770701893.7094638,human
1516,430,1770701893.7154732,human
1516,433,1770701893.721861,human
1516,436,1770701893.7283916,human
1517,440,1770701893.7350693,human
1517,442,1770701893.741886,human
1517,445,1770701893.748267,human
1517,449,1770701893.7547092,human
1518,453,1770701893.761362,human
1518,456,1770701893.7680495,human
1518,459,1770701893.7749546,human
1518,463,1770701893.781188,human
1519,466,1770701893.7876644,human
1519,468,1770701893.7942398,human
1519,472,1770701893.8006597,human
1519,474,1770701893.8078756,human
1519,476,1770701893.8143034,human
1520,477,1770701893.8207045,human
1520,478,1770701893.827142,human
1520,480,1770701893.8337297,human
1520,481,1770701893.8405924,human
1520,482,1770701893.846574,human
1520,484,1770701893.8534775,human
1520,485,1770701893.8603168,human
1520,485,1770701893.8665347,human
1520,487,1770701893.8734276,human
1520,488,1770701893.8797848,human
1520,488,1770701893.886577,human
1520,489,1770701893.8928542,human
1520,490,1770701893.8991501,human
1520,490,1770701893.9127085,human
1520,491,1770701893.9395008,human
1520,492,1770701893.9722807,human
1514,499,1770701894.6093888,human
1506,507,1770701894.6158059,human
1497,516,1770701894.6227672,human
1489,524,1770701894.6291277,human
1484,533,1770701894.6357217,human
1477,544,1770701894.6421618,human
1470,556,1770701894.649032,human
1467,567,1770701894.6555579,human
1462,580,1770701894.6620653,human
1460,592,1770701894.6689367,human
1457,606,1770701894.675808,human
1456,616,1770701894.681866,human
1456,628,1770701894.688348,human
1456,638,1770701894.6948762,human
1456,646,1770701894.7016141,human
1456,656,1770701894.7080383,human
1456,666,1770701894.7145572,human
1457,676,1770701894.7212152,human
1457,683,1770701894.727815,human
1459,690,1770701894.7342956,human
1460,696,1770701894.7409093,human
1461,703,1770701894.7476795,human
1461,706,1770701894.7540855,human
1462,709,1770701894.7606425,human
1463,711,1770701894.7676244,human
1463,712,1770701894.7737644,human
1463,714,1770701894.7803786,human
1463,716,1770701894.787135,human
1464,716,1770701894.7934172,human
1465,718,1770701894.8000796,human
1466,720,1770701894.8066232,human
1467,721,1770701894.8132362,human
1469,721,1770701894.819931,human
1470,723,1770701894.8264022,human
1472,724,1770701894.8331633,human
1475,726,1770701894.8396356,human
1476,727,1770701894.8459032,human
1479,729,1770701894.852624,human
